,glm,beta
Intercept,-2.814137984,1
Pulse 2,0.18271251,0.410469007
Pulse 3,0.252076918,0.805747475
Pulse 4,0.620574264,0.949260868
Pulse 5,0.34877095,0.86646517
year,0.001608893,0.49585877
month,-0.03684519,0.398183085
