"numDf","LogLik","Df","Chisq","Pr(>Chisq)","Deviance","dDeviance","LR","AIC","LR_Df","dAIC"
2,11.3041069391909,NA,NA,NA,22.6082138783818,NA,NA,NA,NA,NA
4,11.4950026313782,2,0.381791384374644,0.826218764728813,22.9900052627565,0.381791384374644,1.21033319828826,-7.61820861562536,0.60516659914413,NA
7,77.1818407976901,3,131.373676332624,2.73546864899343e-28,154.36368159538,131.373676332624,3.36845964918215e+28,117.373676332624,1.12281988306072e+28,124.991884948249
13,87.432261216147,6,20.5008408369139,0.00225436485902714,174.864522432294,20.5008408369139,28294.4349228116,-5.49915916308609,4715.73915380193,-122.87283549571
