"numDf","LogLik","Df","Chisq","Pr(>Chisq)","Deviance","dDeviance","LR","AIC","LR_Df","dAIC"
2,33.5624009755796,NA,NA,NA,67.1248019511592,NA,NA,NA,NA,NA
4,33.5830875507018,2,0.0413731502444534,0.979525924255631,67.1661751014036,0.0413731502444534,1.02090202539553,-7.95862684975555,0.510451012697764,NA
7,104.297430229089,3,141.428685356774,1.85951137639553e-30,208.594860458177,141.428685356774,5.138647376773e+30,127.428685356774,1.71288245892433e+30,135.387312206529
13,113.459910036828,6,18.3249596154784,0.0054694030610847,226.919820073656,18.3249596154784,9532.66697280369,-7.67504038452159,1588.77782880061,-135.103725741295
