"numDf","LogLik","Df","Chisq","Pr(>Chisq)","Deviance","dDeviance","LR","AIC","LR_Df","dAIC"
2,84.0970111420247,NA,NA,NA,168.194022284049,NA,NA,NA,NA,NA
4,84.1484518496837,2,0.102881415317938,0.949859967713715,168.296903699367,0.102881415317938,1.05278676224978,-7.89711858468206,0.526393381124889,NA
7,151.304217096776,3,134.311530494184,6.3652660648375e-29,302.608434193551,134.311530494184,1.46345130008884e+29,120.311530494184,4.87817100029612e+28,128.208649078866
13,159.849714960989,6,17.090995728426,0.00895457553400655,319.699429921977,17.090995728426,5143.54528173146,-8.90900427157402,857.257546955244,-129.220534765758
