"numDf","LogLik","Df","Chisq","Pr(>Chisq)","Deviance","dDeviance","LR","AIC","LR_Df","dAIC"
2,35.1137097648236,NA,NA,NA,70.2274195296472,NA,NA,NA,NA,NA
4,35.370263701849,2,0.513107874050803,0.773713261642161,70.740527403698,0.513107874050803,1.2924684758247,-7.4868921259492,0.646234237912349,NA
7,97.7896432027626,3,124.838759001827,7.00100969033299e-27,195.579286405525,124.838759001827,1.28348879348349e+27,110.838759001827,4.2782959782783e+26,118.325651127776
13,108.450789906399,6,21.3222934072732,0.00160530444673824,216.901579812798,21.3222934072732,42665.5338562302,-4.67770659272685,7110.9223093717,-115.516465594554
