"Fit.statistics","glm","beta"
"AIC",-148.864522432294,-190.901579812798
"LR",1.15355238107165e+33,2.03459622292758e+29
"R^2",0.985438029433642,0.976462994478195
"RMSE",0.0213306034475342,0.015073587755242
"Residual Deviance",0.000682491965153937,0.000355637813971274
