"Fit.statistics","glm","beta"
"AIC",-200.919820073656,-293.699429921977
"LR",5.00089001428679e+34,2.18680469796334e+25
"R^2",0.988189313283214,0.960894956090494
"RMSE",0.0103517188469065,0.00319471143089288
"Residual Deviance",0.000160737124628098,1.5974892198278e-05
